Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.5 | time: 127.24 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.5 | time: 37.47 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.5 | time: 17.10 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.5 | time: 10.86 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.5 | time: 3.47 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.5 | time: 4.12 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.3 | time: 4.96 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.2 | time: 1.31 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.1 | time: 6.66 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.2 | time: 5.51 sec
Optical_sweep_lr0.0001_nms0.3_r50 | score=0.1, nms=0.2 | time: 4.82 sec
Optical_sweep_full_train_r101_lr0002_80k | score=0.1, nms=0.2 | time: 9.57 sec
Optical_sweep_full_train_r50_lr0002_40k | score=0.1, nms=0.2 | time: 6.81 sec
Optical_sweep_lr0.00015_b512_s0.5_nms0.4 | score=0.1, nms=0.2 | time: 9.03 sec
Optical_sweep_lr0.0001_b512_s0.5_nms0.4 | score=0.1, nms=0.2 | time: 6.67 sec
Optical_sweep_lr0.0002_b512_s0.5_nms0.4 | score=0.1, nms=0.2 | time: 7.05 sec
Optical_sweep_lr00015_b512_s05_nms_04_resume | score=0.1, nms=0.2 | time: 6.69 sec
Optical_sweep_r101_lr1e4_b1024 | score=0.1, nms=0.2 | time: 8.72 sec
Optical_sweep_r101_lr1e4_b512 | score=0.1, nms=0.2 | time: 7.07 sec
Optical_sweep_r101_lr2e4_b1024 | score=0.1, nms=0.2 | time: 7.71 sec
Optical_sweep_r101_lr2e4_b512 | score=0.1, nms=0.2 | time: 6.88 sec
Optical_sweep_r50_lr1e4_b1024 | score=0.1, nms=0.2 | time: 7.14 sec
Optical_sweep_r50_lr1e4_b512 | score=0.1, nms=0.2 | time: 6.96 sec
Optical_sweep_r50_lr2e4_b1024 | score=0.1, nms=0.2 | time: 7.36 sec
Optical_sweep_r50_lr2e4_b512 | score=0.1, nms=0.2 | time: 6.99 sec
r101_Optical_sweep_r101_lr1e4_b1024 | score=0.1, nms=0.2 | time: 6.84 sec
r101_Optical_sweep_r101_lr1e4_b512 | score=0.1, nms=0.2 | time: 6.73 sec
r101_Optical_sweep_r101_lr2e4_b1024 | score=0.1, nms=0.2 | time: 6.63 sec
r101_Optical_sweep_r101_lr2e4_b512 | score=0.1, nms=0.2 | time: 6.53 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0001_b1024_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 7.02 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0001_b256_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 7.17 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0001_b512_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 6.76 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0002_b256_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 6.68 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0002_b512_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 7.04 sec
Optical_sweep_lr0.0001_b256_s0.5_nms0.4_r50 | score=0.1, nms=0.2 | time: 7.43 sec
Optical_sweep_Optical_sweep_lr0.0001_b1024_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 6.84 sec
Optical_sweep_Optical_sweep_lr0.0001_b512_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 4.92 sec
Optical_sweep_Optical_sweep_lr0.0002_b512_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 7.49 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0001_b1024_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 4.78 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0001_b256_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 3.10 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0001_b512_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 3.19 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0002_b256_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 3.00 sec
no_aumentation_noBG_Optical_sweep_Optical_sweep_lr0.0002_b512_s0.4_nms0.5_r50 | score=0.1, nms=0.2 | time: 3.10 sec
